"word","analysis","example","etymology","affix","history","word_form","memory_aid","story"
"fiscal","'Fiscal' 是一个英文形容词，意为“财政的，财物的”。它常用于描述与政府收入，尤其是税收，以及支出有关的事项。","- The country has been in a fiscal deficit for the past few years. (这个国家在过去几年一直在财政赤字中。)\n\n- Effective fiscal policies can stimulate economic growth. (有效的财政政策能够刺激经济增长。)\n\n- The fiscal year for this company starts in April. (这个公司的财政年度从四月开始。)","'Fiscal' 的词根来自于拉丁语的 'fiscus'，意为“国库”。","'Fiscal' 这个单词本身无前缀，尾缀的 -al 意为“……的”，常用于形容词。","'Fiscal' 这个词汇初见于17世纪，是从拉丁语引入英语中，旨在描述与公共财务有关的各种事务。","- 'Fiscal' 的名词形式是 'fiscality'，意为“国家的财政状况”。\n\n- 'Fiscal' 的副词形式是 'fiscally'，意为“财政地”，“从财政角度”。","你可以通过联想这个单词的反义词来记住它，例如 'unfiscal'，意为“非财务的”。","Amid global economic downturn, the government decided to introduce expansionary fiscal policies. They cut taxes and increased spending on infrastructure, hoping to stimulate economic recovery. (在全球经济下滑的情况下，政府决定引入扩张性的财政政策。他们削减税收，并增加了对基础设施的支出，希望能刺激经济复苏。)  \n\n（在全球经济下滑的情况下，政府决定引入扩张性的财政政策。他们削减税收，并增加了对基础设施的支出，希望能刺激经济复苏。)"
"mass","Mass这个单词在英文中有多个含义。最常见的意思是“质量”，通常用来描述物体的重要或者大小。另外，它也可以表示”众多的“，”大量“，”集中的“。在宗教中，尤其是天主教，Mass也是'弥撒'的意思。","- The mass of an object can be measured with a scale.（物体的质量可以用秤来测量。）\n\n- A mass of people gathered in the square.（广场上聚集了大量的人。）\n\n- She attends Mass every Sunday.（她每个星期天都去做弥撒。）","Mass这个词来源于拉丁文 'massa'，意思是 “lump” （团块）。其他由这个词根衍生的单词包括：\n\n- Massive: 巨大的，大量的。\n\n- Massacre: 大屠杀。\n\n- Masstige: 高端大众产品。","Mass是一个基本词，没有前缀或后缀。其他包含'mass'的单词包括：\n\n- Mass-produced: 大规模生产的。\n\n- Mass-market: 大众市场。\n\n- Mass-media: 大众传媒。","Mass这个单词在其发展过程中，一直保持着表示数量的意义。在中世纪，它在宗教中用来表示天主教的中心仪式，即弥撒。","Mass的复数形式是masses. 在搭配中，常常与following词搭配，变成'mass following'，表示拥有大量粉丝或者追随者。","可以通过单词联想的方法来记忆Mass这个单词，比如把它和其他你已经知道的单词连接起来。例如：Mass-大量-Massive。","Suddenly, a mass of clouds moved across the sky. It blocked the sun, casting a dark shadow over the town. People rushed indoors, narrowly avoiding the downpour that followed.（突然间，一大块云在天空中形成。它遮住了太阳，给小镇投下了阴影。人们纷纷冲进屋内，刚好避开了随后的暴雨。）"
"presently","'Presently' is an adverb which has two related but somewhat different meanings. The traditional meaning is 'soon' or 'in a short time,' suggesting something will happen in the near future. A more modern use, especially in American English, means 'now' or 'at this time.'","- I'll be with you presently. (我马上就会和你在一起。)\n\n- Presently, she is living in New York. (她当前正在纽约居住。)\n\n- He will arrive presently. (他很快就会到达。)","'Presently' derives from the word 'present', which has roots in the Latin word 'praesentem' meaning 'being at hand.'","'Presently' doesn't seem to have any specific prefixes or suffixes, but '-ly' is a common suffix used to form adverbs from adjectives.","The word 'presently' has been used since the 14th century, originally meaning 'instantaneously' or 'immediately'. Over time, its meaning has slightly shifted, now often used to mean either 'now' or 'soon'.","Here are some variations:  \n\n- Noun form: Present (现在)\n\n- Adjective form: Present (存在的)\n\n- Plural form: Presents (礼物)","You can remember 'presently' by thinking of it as a 'present' moment, which is 'now' or 'soon'.",""
"stack","“Stack”的最基本的意思是“一堆，一叠”, 通常用于描述放置整齐的物体的群组，特别是一个个地叠加在一起的物体。","- The library has a large stack of books.（图书馆有一大堆书。）\n\n- He has a stack of work to do.（他有一大堆工作要做。）\n\n- The dishes are stacked in the cupboard. (碗碟被堆放在食品柜里)","'Stack'的词根为'stac'，这是一个古老的词根，意为'堆积'。","'Stack'属于后缀不明显的单词，没有直接的词缀。","'Stack'这个词源自于古英语中的“staca”，直译为“一堆”。它在英美文化中常常用来描述许多放在一起的物体，尤其是那些叠放在一起的。","'stack'无名词单复数，作为动词表示“堆叠”，过去式为'stacked'，现在分词为'stacking'。","联想记忆法：可以将'stack'联想为“stk”(类似stock股票的音，股票常常用图表堆叠显示)，以此来帮助记住这个单词。","Every morning when the store opens, the manager arranges a stack of goods on the display shelf.(每天早上当商店开门的时候，经理会在陈列架上堆放一堆货物。)"
"Marty","'Marty'张是一个男性的名字，来自拉丁名字Martinus，意思是“战争者”或“来自马尔斯的人”。马尔斯在罗马神话中是战争之神。","","'Marty'没有明确的词根，因为它主要是一个人名，由Martinus演变而来。","无","Martinus（Martins的拉丁形式）来自古罗马，意为“战争者”。它在中世纪欧洲受到了广泛的欢迎，主要是由于早期欧洲的一位著名圣人——圣马丁。然后，它逐渐演变为本名Marty并在英语中被广泛使用。","作为一般的人名，'Marty'没有明确的变形，且在语法上不可变。然而，一些相关的名字可能包括Martin（Marty的原型）。","为了记住'Marty'，你可以联想到一些著名的Marty，比如电影《回到未来》中的主角Marty McFly。","Marty是一位勇敢的青年，总是喜欢挑战新的事物。一次，他进入了森林，发现了一片未被探索的区域。尽管他对未知有些恐惧，但他还是毅然决定去探寻，因为，他是Marty，今年的探险者。  \n\n（马蒂是一位勇敢的青年，总是喜欢挑战新的事物。有一次，他跑到森林里，发现了一个从未有人踏足过的地方。尽管他对未知的世界感到惊恐，但他还是坚定地决定要去探索，因为他是马蒂，战争者。）"
"TRUE","'True' 是一个形容词，主要有以下几种常见含义：\n\n- 真实的，非虚构的： 如 'true story' (真实的故事)\n\n- 忠实的，忠诚的：如 'true friend' (忠诚的朋友)\n\n- 准确的，正确的：如 'true prediction' (准确的预测)","- This is a true story about a brave man.(这是一个关于一位勇敢的男子的真实故事。)\n\n- She has been a true friend to me.(她一直都是我真诚的朋友。)\n\n- His prediction turned out to be true.(他的预测居然真的准确了。)","'True' 的词根来自于古英语（Old English）的 'trēowe', 意为 'faithful, trustworthy' （忠诚的，值得信赖的）。","'True' 是一个基本的英语单词，没有前缀或者后缀。","'True' 一词在英语中古英语起源，最早的用法如 'be true to'，意思是忠于，表达一个人的忠诚度和诚实。","'True' 没有变形版本，但有其对应的副词形式 “truly”（真正地；诚实地）。","'True' 是一个基本的英语单词，可以通过将它和其他形容词比较，例如 'false' (假的) 来帮助记忆。","'Jim found a true friend in Mike. Despite their differences, they stayed true to each other.' (吉姆在迈克这里找到了真正的朋友。尽管他们有所不同，但他们始终忠诚于彼此。)\n\n希望以上的分析可以帮助你理解和记住 'true' 这个单词。"
"choke","'Choke'作为动词，它的基本意义是'阻塞'或'窒息'。除此之外，它还可以在转喻意义上表示'由于紧张而失败'。例如，'I was so nervous, I choked during my presentation.'（我太紧张了，在演讲时失败了。）","- He almost choked on a piece of bread.（他几乎被一块面包闷到。）\n\n- The roads are choked with traffic.（街道上交通堵塞。）\n\n- He choked at the crucial moment of the match.（他在比赛的关键时刻失败了。）","'Choke'的词根是来自古英语的'ceoke'，意为'颈链'或'喉咙'，形象显示了被东西堵住的状况。","'Choke'本身没有词缀，它是一个单词的基本形态。","'Choke'源于古英语的'ceoke'或'cieca'（意为喉咙或颈部）。这个词逐渐发展为现在的意义，是指阻碍气体或液体的流动，或阻止人或动物的呼吸。","- 名词形式: Choked，Choking  \n\n- 副词形式: Chokey  \n\n- 复数形式: Chokes  \n\n- 过去式和过去分词: Choked  \n\n- 现在分词: Choking","你可以试着这样来记住这个单词：'choke'中 '-'cho' 的发音和中文的 '炒' 类似，而 'ke' 则犹如 '咳'，想一想当你 '炒咳' 就像是在 '阻塞' 或 '窒息'，就能记住这个单词了。","Once a young man was eating a big apple too hastily, and he suddenly choked. His face was pale, but he managed to cough it out and gasped for air. After that experience, he learned to chew his food carefully.（有一次，一个年轻人狼吞虎咽地吃着一个大苹果，突然被它呛到了。他脸色苍白，但他成功地咳出了那块苹果，然后大口地呼吸空气。那次经历后，他学会了细嚼慢咽。）"
"foothold","'foothold' 主要有两个含义，一是'立足点'，就是人或物可以立足的地方；第二是'据点'，意思是在广大区域中的一个小平稳区域，人们可以在这里进行开发或者扩张。","- Up there on the cliff, he found a tiny foothold to rest.(他在山崖上面找到了一个微小的立足点来休息。)\n\n- Starting a new business requires a firm foothold in the market.(开启新业务需要在市场上有稳定的据点。)\n\n- They are struggling to gain a foothold in the music industry.（他们正在努力在音乐产业中获取一个据点。）","这个词是由'foot' + 'hold'组成的，'foot'是脚，'hold'是抓住的意思，合起来就是以脚抓住地面，形象的表达了立足，抓稳位置的意思。","","这个词是由两个非常常见的词汇组合而成，早在18世纪就有了这个词，早期常用于描述攀岩等需要找合适地方落脚的场景，后来引申为在各种领域稳定自己的位置。","这个词是一个名词，没有时态和单复数变形。","可以想象一下你正在攀岩，你正在寻找一个地方可以稳稳的放下你的脚，这个地方就是'foothold'。","He used to be a small vendor selling street food. But now, he owned a foothold in the crowded marketplace, offering an exotic taste no one wants to miss. (他曾是一个在街头贩卖食物的小商贩。但现在，他在熙熙攘攘的市场中拥有了自己的一个据点，提供着无人能够抵挡的独特美味。)"
"mayor","'Mayor'是一个英语单词，是一个具体的职业名词，“市长”的意思。这是一个公务员头衔，通常指一个城镇或城市的最高行政官。他负责一个市或区域政府的行政管理。","- The Mayor will open the new library next week. （市长将在下周开放新的图书馆。）\n\n- Our town has just elected a new mayor. （我们镇刚刚选出了新市长。）\n\n- She is the first female mayor of the city. （她是本城市的首位女市长。）","'Mayor'来自中世纪拉丁语“maior”，意为“更大的，更重要的”。","'Mayor'没有特定的词缀，但是它是形容词 'major'的派生词。","'Mayor'这个词在英语中有很深的历史。最初出现在14世纪的法语中，意思是“市头，市长，主需要的，卓越的”。由于历史和文化的演变，这个词现在主要用于表示城市或镇的领导人。","'Mayor'本身就是名词，没有复数形式。但是可以与其他单词组成词组，如'Mayor's office'（市长办公室）。","把 'Mayor'与“major” （主要的）关联记忆，市长是一个城市主要的领导者。","One day, Tom, a kind and wise Mayor, saved the city from a terrible flood by organizing efficient rescue operations. The townsfolk will always remember their brave Mayor.  \n\n（有一天，汤姆，一个仁慈且明智的市长，通过组织高效的救援行动，使城市免于严重洪水的困扰。镇民们将永远记住他们勇敢的市长。）"
"prevail","'Prevail'这个单词在英语中主要有两个基本意思：一是“占主导地位，流行，盛行”,二是“取得胜利，获得优势”。比如，“In winters, cold weather prevails' (冬日里，寒冷的天气占主导) 或 'Justice will prevail in the end' (最后正义会占上风)。","- Peace will eventually prevail over war. (和平最终会战胜战争。)\n\n- In that area, traditional customs still prevail. (在那个地方，传统习惯仍然流行。)\n\n- Against all odds, she managed to prevail. (尽管困难重重，她还是取得了胜利。)","Prevail源于拉丁文praevaleō， 其中'prae-' 是前缀，表示在前， 'vāleo' 表示健康或强大。其他的词根衍生词有：Valiant (勇敢的), valid (有效的), valor (英勇)等。","'Prevail'自身并未包含英文的词缀，它是个完整的词根。","'Prevail'一词起源于14世纪的法语，原意为“prove more powerful, succeed”(证明更强大，成功)。其在文化上多用于描述优势或权势的胜利，例如在法律制度、艺术领域、全球事务等中的使用。","该词为动词,其过去式和过去分词形式为prevailed，现在分词为prevailing。","你可以把 'prevail'和 'victory'联想在一起记忆，因为prevail常常是取得胜利或者优势的意思。","In a small town, an old tradition prevailed: every spring, people would gather to plant trees. This tradition not only prevailed against time, but also nurtured a beautiful forest. (在一个小镇上，有一个流传已久的传统：每个春天，人们都会集中起来植树。这个传统不仅经受住了时间的考验，而且还孕育了一片美丽的森林。)"
"stress","尽管 'stress' 是一个常见的词语，但它在医学、心理学、语言学、物理学等多个领域中都有不同的含义。无论在哪个领域，'stress' 基本上都可以解释为一种压力、紧张或压迫。","- I'm under a lot of stress from work.（我工作的压力很大。）\n\n- Stress can have negative effects on our health.（压力可能对我们的健康产生负面影响。）\n\n- In the sentence 'I object', the stress falls on the second syllable.（在句子 ‘I object’中，重音落在第二个音节上。）","'stress' 来自于拉丁语 'strictus'，意为“紧绷的”，与此相关的英语单词还有 'strict'(严厉的)、'constrict'(收缩)。","'stress' 没有前后缀，但 'de-stress' 表示“减压”。","'Stress' 这个词在现代意义上的使用，最早可以追溯到19世纪40年代的物理学领域，用以表示“物体遭受强力作用时的内部抵抗力”。直到20世纪50年代，精神病学家汉斯·赛尔叶将其应用到心理学领域，引申出压力理论。","Stresses (复数)、Stressful（形容词）。  \n\n社交压力 (social stress)，应激反应 (stress response)。","想象 'strict' 像一根弓弦，被拉紧时就产生了 'stress'（压力）。","In a busy city, a hardworking man named Tom faced a lot of stress from work and his health was starting to suffer. He decided it was time to de-stress, so he left for a peaceful village and started living a stress-free life.  \n\n在忙碌的城市中，一个勤劳的人叫汤姆从工作中承受了很多压力，他的健康状况开始下滑。他决定是时候减压了，于是他去了一个安静的村庄，开始过上无压力的生活。"
"Masaccio","Masaccio 是一个意大利名词，它也是意大利画家 Tommaso di Ser Giovanni di Simone (1401或1402年-1428年) 的艺名，被认为是文艺复兴时期早期最重要的画家之一。然而，若你希望了解 Masaccio 对于英语中意义或### 词根分析\n\n，在英语中，Masaccio 并无特定含义，也没有明确的词根、词缀或变形。\n\n\n\n在历史与文化背景上，Masaccio 的作品被认为代表了早期文艺复兴艺术的一种飞跃，他的画作以其对人物和风景的真实主义描绘而备受赞誉，标志着西方艺术中的一次重大成长和发展。","无","无","无","无","无","方面，你可以将 Masaccio 与他的作品或生平事件关联起来，以便更好地记住这个单词。","在1425年的夏季，青年画家Masaccio在空气中充满果和花的香气的花园里，一边听着鸟鸣，一边专注地描绘他的画像。在画布上，他用颜料和创造力赋予了人物生命。  \n\n(在1425年的夏天，年轻的艺术家 Masaccio 在一个弥漫着果实和花香的花园里，他一边静听鸟语，一边专心地绘制他的画作。在画布上，他用颜色和想象力赋予了每一个人物生命。)"
"TT","TT 在不同的背景和上下文中可能有不同的含义。它可能是一个缩写词，用来表示各种含义。在下列情况中它可以表示这些含义：\n\n- 时间表（Timetable）： TT 作为时间表的缩写，主要被用于这样的句子，“My train TT is very busy this week” (我的火车时刻表这周很忙。)\n\n- 测试版（Test Version）：在软件开发行业中，TT 是测试版的简写，例如: 'We are currently working on the TT of our new app.'（我们正在测试我们新应用的测试版。）\n\n- 礼貌，尊敬（Tip top, used to express admiration or respect）： 这在英式英语中被用于表示尊重或赞美，例如：'Your performance was simply TT.'（你的表演简直太棒了。）\n\n- 试探性口头报价（Trial Tender）：在商业环境中，尤其是在招投标过程中，TT 通常用于提出一个初步的口头报价，用于开始谈判过程。\n\n\n\n在中文网络语言中，'TT'常常被用作表情符号，表示哭泣的表情，有脸部侧视图的效果，其中T的横杠表示双眼，而T的竖杠表示由眼泪造成的痕迹。例如：“我今晚没有做任何作业，好伤心TT。”","- The TT of the train from Paris to London changes often（从巴黎到伦敦的火车时刻表经常改变）\n\n- We already have the TT, the official version will be released soon（我们已经有了测试版，官方版本很快就会发布）\n\n- His dressing sense is just TT!（他的着装品味太棒了！）\n\n- They placed a TT on the construction project (他们对建设项目提出了一个试探性的口头报价)","在一般英语中，TT并不代表特定的单词或短语。所以对于词根、词缀的分析、单词的变形，发展历史和文化背景并没有什么可以提供的。因为它质的是一个缩写，而非通过词根词缀等构亿成的常规单词。","无","无","无","记住TT的小诀窍，可以将其与相关内容的缩写联系起来。例如，对于 'Timetable'，可以将它看作每日的'Tea Time' 主题日程表，来帮助记忆'TT'在这种情况下的含义。","John was puzzled by the TT of his new software job. It seemed like there was a constant flow of versions- Alpha, Beta and now TT. John was determined to do his best though. After all, in his mind, TT stood for Tip-Top, the best it could be.\n\n约翰对他新软件工作的测试版(TT)感到困惑。似乎版本更迭不断——从Alpha到Beta，现在到TT。但约翰决定尽全力做好。毕竟，在他心里，TT代表了最棒的，可能达到的最高水平。"
"civilization","'Civilization' 是名词，其意思主要是“文明”，指的是一个高度发展和复杂的社会或文化。此词也可以表示一个特定的地区、时期、社会或文化群体的具体表现形式。","- The ancient Roman Empire is often regarded as a pinnacle of civilization.（古罗马帝国经常被视为文明的巅峰。）\n\n- The discovery of fire marked a significant step in human civilization.（发现火是人类文明的一大重要步骤。）\n\n- Modern civilization is characterized by technological advancements.（现代文明的特点是技术的进步。）","'Civilization'中的词根是'civil'，来源于拉丁语 'civis'，意思是'公民'. 'Civil'一词在英语中具有“公民的”，“市民的'的含义。","'Civilization'中的结尾部分 '-ization' 是一个常见的后缀，表示“the process of making something”，它体现在这里是由“公民的社会”转变为复杂和高级的社会或文化的过程。","'Civilization'一词最初出现于18世纪，当时主要用于描述不同地理区域的社会和文化差异。后来，它的含义逐渐变得更加抽象和综合，不仅仅局限于社会和文化的差异，更多地是在描述一种社会发展和进步的过程。","Civilization的复数形式为 civilizations. 'Civilize' 是对应的动词， 'Civilized' 是形容词， 'Civilly' 是副词。","可以将 'Civilization' 想象为 'City'（城市）的 'Visitation'（参观），这有助于记住这个单词。","'Despite living in the midst of modern civilization, John always felt a deep yearning for the simplicity of rural life.'  \n\n尽管生活在现代文明中，约翰总是对乡村生活的简朴深感向往。"
"gang","'Gang' 在英语中主要有两个含义，一个是指一群有共同目标或兴趣，或者在一起做同样活动的人。另一个常见的含义是指一群涉嫌犯罪活动的人，也就是我们常说的帮派或者黑帮。","- He hangs out with a gang of friends at the park every evening.（每天晚上，他都和一群朋友在公园玩耍。)\n\n- The city has been struggling with gang violence for years.(这个城市多年来一直在与帮派暴力斗争。)\n\n- The police busted a gang involved in drug trafficking.(警方打掉了一个涉及毒品贩卖的团伙。)","","无","'Gang'是古英语词汇'gan',的派生词，'gan'在古英语里面表示'走”，所以'gang'的字面意思就是一群人一起行动的。19世纪，'gang'开始被用来专指街头犯罪团伙。","除了原型'gang'以外，'gang'有过去式和过去分词形式'gangged'，现在分词形式'ganging'。如：  \n\n- The men ganged together to fight against the injustice.(这群男人为了反对不公正的事情而聚集在一起。)\n\n- The children are ganging up on the new student.(孩子们正在一起欺负新生。)","你可以想象一下你的固定的一群朋友，他们是你的'gang'。这样可以更容易记住这个词。","Timmy was new to the city, but soon he had his own gang - a lovely golden retriever, a chatty parrot, and a sneaky raccoon. They had the best adventures together, and no matter where they went or what they did, they were always a 'gang'.（提米新搬到这个城市，但很快，他就有了自己的“团伙”——一只可爱的金毛寻回犬，一只话多的鹦鹉，和一只狡猾的浣熊。他们一起度过了最好的冒险，无论他们去哪里或做什么，他们一直都是一个“团伙”。)"
"mentally","'Mentally' 是一个副词，意思是'在心理上'，'精神上'，通常用来描述某人的心理状态或者某事情在心理层面上的影响。","- She was mentally and physically exhausted. 她身心疲惫。\n\n- He is mentally prepared for the worst. 他已经做好了最坏的心理准备。\n\n- We need to support them both physically and mentally. 我们需要在身体和精神上都支持他们。","'Mentally' 是由基本词根'ment-' 派生出来的，意思与'mind' （心灵，精神）相关。","'-al'是形容词后缀，意味着'有...性质的'或'与...有关的'。'-ly' 是副词后缀，将形容词变为副词。","'mentally' 这个词源于拉丁词'mens'，意思是'mind'。再后来经过法语的演变，成为英语中'mental'的形态，而副词形式'mentally'则是在这个基础上加上了副词后缀。","'Mentally' 作为副词没有变形，其对应的形容词式 'mental' ，名词形式则为 'mentality'","可以通过一些相关的词汇来联想记忆，比如 'mental', 'mentality', 这些词都与 'ment-'这个词根有关，都与心理，思想有关。","Fred was mentally drained after a long day of problem solving. He realized the importance of taking breaks to rejuvenate mentally.  \n\n弗雷德在解决了一整天的问题后精疲力尽。他意识到了休息以恢复精神的重要性。"
"reconcile","'Reconcile' 是一个英语单词，源自拉丁语词根 'reconciliare'，意为重建、还原。在英语中，'reconcile' 主要有两种意思。一是指和解，修复关系，特别是在关系紧张或分裂后；二是指令人接受一种不愉快或困难的事实。","- They decided to reconcile after the long feud. (他们决定在长期的争斗后和解。)\n\n- It is hard to reconcile my father's generous personality with his mean behavior. (很难让人接受我父亲宽大的性格与他吝啬的行为之间的矛盾。)\n\n- The government tried to reconcile the two opposing groups. (政府试图协调两个对立的团体。)","'Reconcile' 由两个词根组成： 're-' 和 'concilium'。 're-' 是一个前缀，意为重新。'concilium' 是一个古拉丁词，意为集会、聚集或协议。其衍生词有council（理事会）等。","'Reconcile' 中的 '-ile' 是一个后缀，通常用于形容词或者动词，表示“有...倾向的，易于…的”。","'Reconcile' 的词汇来源于中世纪拉丁语。亚里士多德在其著作中首次使用了 'reconcilium'，随后使这个词在学术界流行起来。","- 动词：reconciles（第三人称单数），reconciling（现在分词），reconciled（过去时和过去分词）  \n\n- 名词：reconciliation（和解，协调）","在记忆 'reconcile' 这个单词时，你可以将它和 'council' 这个单词关联起来，想象一个分裂的理事会最后重组，达成协议，和解了。这种关联可以帮助你记住 'reconcile' 的意思和拼写。","Long ago, two rival tribes lived across the river. Conflicts and fights were frequent between them. But one fine day, they decided to reconcile, end their feuds, and build a bridge of connection for better communication and peace. From that day forward, the tribes lived in harmony.\n\n很久以前，河的两边生活着两个敌对的部落，他们经常发生冲突和战斗。但是，在一个美好的日子里，他们决定和解，结束他们的争端，并建立一个沟通和和平的桥梁。从那天开始，这两个部落和睦相处。"
"treasure","'Treasure'是名词和动词。作为名词时，该词通常指极有价值的物品或财产，特别是金银和珠宝；作为动词时，表示高度珍视或重视某事物。在广义上，还常用于形容我们对非物质的、精神上的“财富”——比如友情、健康或美好的回忆——的珍视和重视。","- The archaeologists discovered a treasure buried underground.(考古学家们发现了一个埋藏在地下的宝藏。)\n\n- His grandfather's watch is a treasure to him.(他的手表对他来说是个珍宝。)\n\n- She treasures the memories of her travels around the world.(她珍视她环游世界的记忆。)","Treasure由Latin的'thesaurus' (存款，宝库)衍生而来，进一步追溯，可以找到Greek的'thēsauros' (宝库, 财宝)，这也是我们现在“辞典”一词在英语中的fe本源（thesaurus)。","Treasure本身无前缀或后缀。然而，相关词汇如 'treasurer'（财务主管）和 'treasurable'（有价值的、可珍藏的）显然有后缀。","Treasure一词在中世纪初期从法语借入英语，最初的意思是'财富'或'财产'，比现在的用法要广泛一些。而在欧美文化中，“寻找宝藏”是许多故事或电影的常见主题，等同于探索、冒险和追求财富的象征。","- 名词：treasure（宝藏/财富）\n\n- 动词：treasure（珍视）\n\n- 形容词：treasurable（有价值的、可珍藏的）\n\n\n\n固定搭配比如 “buried treasure”（埋藏的宝藏），“treasure home”（珍视家园）。","实物级的“宝藏”，通常是我们在海盗电影中看到的那种：满满的金币和珠宝，堆积在一个大箱子里。而在现实生活中，每个人心中都有自己的“宝藏”，可能是有价值的物品，也可能是家人和朋友、健康和经验等。有时，“珍视”这个动作，比实际的“财宝”更有价值。","Tommy found an old map in his attic, it was a treasure map! He followed the map, walked through mountains, valleys, rivers, and finally found a treasure chest under a giant tree. Inside was his greatest treasure—a book of wisdom from his ancestors.\n\n汤米在他的阁楼上找到了一张古老的地图，原来是一张宝藏地图！他按照地图走过山丘、河谷，最后在一棵巨大的树下找到了宝箱。里面是他最大的宝藏——一本来自他的祖先的智慧之书。"
"assistance","'Assistance' 是一个名词，表示帮助或援助，通常用于描述给予帮助或支持的行为。","- I can't move this table by myself. Can you give me some assistance?  (我不能自己移动这张桌子。你能帮助我吗？)\n\n- The government provides financial assistance to the unemployed. (政府向失业者提供经济援助。)\n\n- We express our heartfelt thanks for your assistance during this difficult time.(我们对于你在这个困难时期的帮助表示由衷的感谢。)","'Assistance' 的词根是 'assist' ，表示“帮助”。加上后缀 '-ance'，将单词变为名词。","'Assistance' 的前缀是 'assist-'，词根，表示帮助；'-ance' 是后缀，用于形成名词。","词汇 'assistance' 来源于中世纪的法语，其词根 'assist' 取自拉丁语 'assistere'，表示 '站在某人身边'，在字面上，也就是指 '协助，帮助'。","'-ance' 是一个常见的名词后缀，用于将动词转换为名词。动词形式是 'assist'，形容词形式是 'assistive'，副词形式是 'assistingly'。","你可以通过单词的发音 (assist + ance) 来帮助记忆。另外，记住其词根 'assist' 及其含义(帮助)，只需要再记住 '-ance' 后缀用于形成名词，这样就可以容易记住 'assistance' 这个单词了。","When Tom's car broke down in the middle of the road, a kind passer-by offered his assistance. He was a mechanic and quickly fixed the car for Tom.\n\n当 Tom 的汽车在路中间抛锚时，一个善良的路人提供了他的帮助。他是个机械师，很快就为 Tom 修好了车。"
